,listing_id,name,host_id,host_name,neighbourhood_group,room_type,price,number_of_reviews,last_review,reviews_per_month,availability_365,rating,number_of_stays,5_stars,listing_added,latitude,longitude
16,21698446,Private Room In Manhattan!,32798079,Mike & Kevin,"Manhattan, Harlem",Private room,98$,94,7/3/2019,4.65,117,3.035045852,112.8,0.649443557,12/28/2018,40.81691,-73.93735
17,33635065,Sonder | Stock Exchange | Cozy 1BR + Laundry,219517861,Sonder (NYC),"Manhattan, Financial District",Entire home/apt,230$,6,6/20/2019,2.28,327,4.203225121,7.2,0.69043917,12/15/2018,40.7071,-74.01194
18,1479113,"Spacious, quiet room with private full bathroom.",176836,Gil,"Manhattan, Lower East Side",Private room,49$,90,1/1/2019,1.29,0,3.347610332,108,0.705861734,6/28/2018,40.71501,-73.98061
19,14817574,Spacious Room in the heart of Greenwich Village!,88398053,Colleen,"Manhattan, Greenwich Village",Private,99$,5,8/20/2017,0.15,0,4.847748652,6,0.637712308,2/14/2017,40.72807,-73.99925
20,26398320,Cozy room w/ private balcony and incredible views!,45448756,Lucia,"Manhattan, East Village",Private room,99$,5,5/20/2019,0.43,11,3.41137041,6,0.674273363,11/14/2018,40.72777,-73.98568
21,6654984,Beautiful apartment in trendy Brooklyn,5417600,Elvira,"Brooklyn, Park Slope",Entire home/apt,200$,4,6/16/2018,0.14,173,3.088651493,4.8,0.641003468,12/11/2017,40.67376,-73.98397
22,20655740,Penthouse Studio with Queen Bed & Private Rooftop,6655660,Kate,"Manhattan, Lower East Side",Entire home/apt,275$,17,5/22/2019,0.76,171,3.620230793,20.4,0.60660236,11/16/2018,40.71798,-73.98418
23,21324522,Brownstone Duplex with Private Outdoor Patio!,12337318,Andrew,"Manhattan, Harlem",Entire home/apt,200$,38,6/10/2019,1.89,101,4.185764901,45.6,0.639607277,12/5/2018,40.82296,-73.94545
24,35389003,Live good live cheap in Manhattan,109231531,Sophia,"Manhattan, Washington Heights",Private room,90$,0,,,179,,,,5/23/2018,40.84414,-73.94099
25,9823806,Spacious 1BD-1 Block to Bedford L!,18195071,Ben,"Brooklyn, Williamsburg",Entire home/apt,160$,0,,,0,,,,6/16/2018,40.71481,-73.95475
26,11532518,1 Bedroom Apt East Village/USQ,24319977,Charles,"Manhattan, East Village",Entire home/apt,200$,0,,,0,,,,7/1/2018,40.72895,-73.98558
27,13885982,The Bushwick Museum,11841497,Amanda,"Brooklyn, Bushwick",Private room,55$,3,7/29/2016,0.08,0,3.207637177,3.6,0.730139624,1/24/2016,40.70112,-73.93086
28,23514583,"Luxury High Line Chelsea Doorman, Roof Deck/Gym",19043062,Regi,"Manhattan, Chelsea",Entire home/apt,150$,21,6/19/2019,1.46,5,4.96909266,25.2,0.867752482,12/14/2018,40.74057,-74.00263
29,25328184,Bedstuy Fly!  Two Bedroom Garden Apartment.,1417893,Ingrid,"Brooklyn, Bedford-Stuyvesant",Entire home/apt,160$,52,6/22/2019,3.9,37,4.418133677,62.4,0.703345263,12/17/2018,40.68902,-73.92838
30,34365364,"Warm, Comfortable, and Joyful Loft in Brooklyn",68869481,Geraldine,"Brooklyn, Gowanus",Entire home/apt,180$,3,6/23/2019,2.09,5,3.635255068,3.6,0.729901516,12/18/2018,40.67152,-73.98991
31,19171670,Cozy private bedroom with Queen size bed & closet.,132485563,Ali,"Manhattan, Upper East Side",Private room,115$,11,10/23/2018,0.5,67,3.043068163,13.2,0.716743487,4/19/2018,40.77226,-73.95983
32,9230738,Charming 1-bed apt w/ private deck,4031222,Romain,"Manhattan, Upper West Side",Entire home/apt,185$,14,4/21/2019,0.38,4,3.599264916,16.8,0.732165699,10/16/2018,40.77431,-73.97883
33,2574386,Luxury Apt - west village/Chelsea,9090698,G,"Manhattan, Chelsea",Entire home/apt,275$,2,10/5/2014,0.03,365,3.29284404,2.4,0.679146847,4/1/2014,40.74311,-74.00718
34,6445656,Big Room in Heart of Williamsburg,13873277,Elan,"Brooklyn, Williamsburg",Private room,100$,0,,,0,,,,5/10/2018,40.71599,-73.95539
35,9073600,Upper East Side 2 Bedroom Sleeps 4,6942997,Deborah,"Manhattan, Upper East Side",Entire home/apt,95$,0,,,0,,,,6/29/2018,40.7834,-73.94556
36,31055254,In the heart of midtown manhattan - CONVENIENCE,69446035,Michael,"Manhattan, Midtown",Entire home/apt,100$,0,,,365,,,,8/28/2018,40.75094,-73.981
37,13770780,Super sunny and spacious! Privacy!,38404959,Maria,"Queens, Ditmars Steinway",Private room,60$,10,9/27/2018,0.38,364,4.551257159,12,0.904928448,3/24/2018,40.77697,-73.9082
38,22250309,Brownstone Apartment near Manhattan,62048197,Adetoro,"Brooklyn, Bedford-Stuyvesant",Entire home/apt,85$,2,5/5/2018,0.14,0,3.965615955,2.4,0.765655246,10/30/2017,40.68373,-73.93056
39,32975089,"Amazing private room near subway (M,J, L,G trains)",248161322,Sergii,"Brooklyn, Bushwick",Private room,64$,0,,,338,,,,2/6/2018,40.70001,-73.93914
40,21265628,Fabulous Room in East Willamsburg!,20583151,Deona,"Brooklyn, Bushwick",Private room,95$,1,5/19/2019,0.59,89,4.839623375,1.2,0.720851455,11/13/2018,40.69779,-73.92282
41,10022956,Huge room in 4 BR on Riverside,50539477,Brian,"Manhattan, Harlem",Private room,50$,77,6/2/2019,3.26,190,3.042687827,92.4,0.644056849,11/27/2018,40.82203,-73.95612
42,19791924,Spacious studio with private garden near The Met,112954746,Miranda,"Manhattan, Upper East Side",Entire home/apt,145$,3,7/30/2017,0.12,0,3.185082177,3.6,0.675299924,1/24/2017,40.77428,-73.95523
43,3701890,1 bedroom apartment on the UWS,3146957,Alexandra,"Manhattan, Upper West Side",Entire home/apt,160$,5,7/5/2016,0.09,0,3.535707608,6,0.610853477,12/31/2015,40.77918,-73.9874
44,36236013,READY BED GO the goal is to make u feel at home,256197494,Emanuel,"Brooklyn, Cypress Hills",Private room,75$,1,7/5/2019,1,82,3.534620219,1.2,0.732689392,12/30/2018,40.68042,-73.88978
45,25918623,Sunny & Cheery Bronx Home - with Chickens!,7558748,Lily,"Bronx, Mott Haven",Entire home/apt,115$,36,6/29/2019,3.12,114,4.509901539,43.2,0.822125001,12/24/2018,40.8084,-73.92037
46,31494165,Sunny Cosy Private Room Hell's Kitchen & Broadway,33464426,Natasha,"Manhattan, Hell's Kitchen",Private,80$,8,5/29/2019,1.4,0,4.933218282,9.6,0.668834539,11/23/2018,40.76453,-73.98527
47,34723111,Modern 3 Bedroom! Easy Access to Manhattan!,261904019,Pete,"Queens, Ridgewood",Entire home/apt,199$,5,7/1/2019,3.13,145,4.862087897,6,0.607352598,12/26/2018,40.70631,-73.89698
48,17690331,"Quiet Bedroom in Central Bushwick, 16 mins to NYC",58953152,Dmitry,"Brooklyn, Bushwick",Private room,42$,12,12/30/2018,1.26,0,3.929946298,14.4,0.757863975,6/26/2018,40.69927,-73.91316
49,25817508,"Brand new space ! ... safe, peaceful and relaxing.",194004304,Norjia,"Manhattan, Washington Heights",Private room,85$,9,1/1/2019,0.79,80,4.948776772,10.8,0.857692863,6/28/2018,40.84782,-73.93954
50,20783900,Marvelous Manhattan Marble Hill Private Suites,148960265,Randy,"Manhattan, Marble Hill",Private room,93$,7,10/6/2018,0.32,0,4.868036152,8.4,0.60926253,2/17/2020,40.87618,-73.91266
51,13082571,Garden Overlook,72318418,Francisca,"Brooklyn, Crown Heights",Private room,69$,132,6/24/2019,3.46,365,4.914117548,158.4,0.926021476,12/19/2018,40.67002,-73.92054
52,9791355,Beautiful studio in Gramercy Park,50463621,Josh,"Manhattan, Kips Bay",Entire home/apt,110$,0,,,0,,,,7/11/2018,40.7412,-73.98171
53,34207673,Manhattan Midtown West - Modern Single Hotel Room,252604696,Erin,"Manhattan, Chelsea",Private room,159$,0,,,359,,,,5/10/2018,40.74899,-73.99605
54,35200165,Twin bed in hostel with other guests,201813482,Nick,"Brooklyn, Bushwick",Shared room,25$,0,,,346,,,,7/20/2018,40.70508,-73.91577
55,26749730,KID-friendly 2BR apartment - heart of Williamsburg,8654731,Juan,"Brooklyn, Williamsburg",Entire home/apt,289$,32,4/21/2019,3.06,60,3.992950444,38.4,0.782218689,10/16/2018,40.70945,-73.95843
56,6141561,Beautiful room & Amazing location,6984488,Jessica,"Brooklyn, Prospect Heights",Private room,125$,16,10/30/2016,0.32,339,3.091706132,19.2,0.610387066,4/26/2016,40.67483,-73.9646
57,28513774,Cozy 2 Bedroom Apt w/ Patio & Hot Tub near Trains,108249932,Yngrid And Jiovanni,"Brooklyn, East New York",Entire home/apt,175$,22,6/30/2019,2.89,285,3.486631609,26.4,0.728319639,12/25/2018,40.6757,-73.88925
58,20542510,Room 1 Private Lower Level Getaway w/ Window  (Lower Level 1),104927746,Amardeep,"Staten Island, Concord",Private room,32$,45,4/21/2019,2.09,333,4.107913269,54,0.64656308,10/16/2018,40.59669,-74.08645
59,24171777,Luxury Triplex with Roofdeck,6489789,Tim,"Brooklyn, Gowanus",Entire home/apt,450$,3,4/3/2019,0.35,22,3.622825035,3.6,0.785190265,9/28/2018,40.68159,-73.98075
60,1908852,Oversized Studio By Columbus Circle,684629,Alana,"Manhattan, Upper West Side",Entire home/apt,189$,7,5/6/2016,0.13,0,4.841203657,8.4,0.725994802,9/17/2017,40.7706,-73.98919
61,9695052,Owl's Landing - The Twins,50068597,Alex,"Staten Island, Stapleton",Private room,48$,112,7/2/2019,2.6,316,3.572992308,134.4,0.636083392,12/27/2018,40.63573,-74.0772
62,22841280,RARE & Spacious Brooklyn Brownstone! Great Area!,26243777,Jami,"Brooklyn, Bedford-Stuyvesant",Entire home/apt,125$,6,4/19/2019,0.36,0,4.342982542,7.2,0.718121158,10/14/2018,40.68729,-73.92949
63,17481484,Brooklyn Apartment,118430352,Austin,"Brooklyn, Crown Heights",Private room,75$,0,,,0,,,,5/15/2018,40.67519,-73.9402
64,18858761,Private Entrance Astoria Five min walk to subway,131392140,Vik,"Queens, Astoria",Entire home/apt,125$,49,3/17/2019,1.99,86,4.386348949,58.8,0.765054296,9/11/2018,40.77407,-73.92262
65,17634206,One Room Apartment Next to Columbus Circle,119930068,Arturo,"Manhattan, Hell's Kitchen",Entire home/apt,130$,4,3/19/2017,0.14,0,4.457476674,4.8,0.684520731,9/13/2016,40.76699,-73.9848
66,9390729,Manhattan Brownstone Great Location,15280538,Elisabeth,"Manhattan, East Harlem",Entire home/apt,465$,74,7/6/2019,1.67,62,3.87184195,88.8,0.60442372,12/31/2018,40.78758,-73.95026
67,34035610,Private Room in a Beautiful Ridgewood Apartment,128605205,Tom,"Queens, Ridgewood",Private room,100$,0,,,3,,,,9/23/2018,40.7066,-73.91392
68,13039849,"Peaceful, cozy, artistic studio.",283116,Lorie,"Queens, Sunnyside",Entire home/apt,75$,0,,,0,,,,8/26/2018,40.74625,-73.91643
69,24539281,"43rd Street “TIME SQUARE”
Single bed.",30985759,Taz,"Manhattan, Hell's Kitchen",Shared room,65$,108,6/23/2019,7.33,325,3.090502336,129.6,0.763191827,12/18/2018,40.75792,-73.99172
70,33621795,Queen Room,257565053,The Redford,"Manhattan, Lower East Side",Private room,135$,0,,,162,,,,9/2/2018,40.7211,-73.9893
71,22797190,Large 1 bedroom apartment East Village / Gramercy!,9374496,Svetlana,"Manhattan, Gramercy",Entire home/apt,150$,16,6/23/2019,0.9,0,4.461403102,19.2,0.755092037,12/18/2018,40.73307,-73.98347
72,30937306,Hart Street Garden Apartment,34119511,Charles,"Brooklyn, Bedford-Stuyvesant",Private,30$,1,12/23/2018,0.15,0,3.920576077,1.2,0.626262517,6/19/2018,40.69406,-73.93321
73,21357792,Stylish room in lush Williamsburg apartment,111969257,Jae,"Brooklyn, Williamsburg",Private room,90$,3,7/12/2018,0.15,0,3.243355304,3.6,0.613728345,1/6/2018,40.71619,-73.9441
74,34912334,Sunny Private 1BR Suite w/Kitchen/Bath @A/C Lines,81325020,Matt & Crutch,"Brooklyn, Bedford-Stuyvesant",Entire home/apt,85$,3,6/22/2019,2.05,43,4.355539821,3.6,0.75210201,12/17/2018,40.67916,-73.92559
75,8776479,East Williamsburg / Bushwick loft,8822845,Adam,"Brooklyn, Williamsburg",Entire home/apt,140$,16,3/15/2019,0.49,1,3.19267976,19.2,0.641560968,9/9/2018,40.70353,-73.93482
76,15732778,"Huge space across from park, easy to Manhattan",3398280,Megan,"Brooklyn, Prospect-Lefferts Gardens",Private room,65$,3,4/30/2019,0.39,35,3.361691039,3.6,0.604897361,10/25/2018,40.65776,-73.96174
77,7319856,450ft Square Studio in Gramercy NY,11773680,Adam,"Manhattan, Kips Bay",Entire home/apt,289$,4,5/22/2016,0.09,225,3.903764002,4.8,0.756381044,11/17/2015,40.73813,-73.98098
78,7761394,One room in a 4 Bedroom apt.,40812084,Chris,"Brooklyn, Bedford-Stuyvesant",Private room,45$,2,9/29/2015,0.04,0,3.478133801,2.4,0.783112422,3/26/2015,40.68647,-73.92494
79,21867440,"Charming, Cozy Apartment in the Heart of Bushwick!",29599980,Leslie,"Brooklyn, Bushwick",Entire home/apt,41$,1,1/1/2018,0.05,0,4.15618186,1.2,0.668767962,6/28/2017,40.70636,-73.91935
80,10019335,Your home in the historic district,48818023,Sarah,"Manhattan, Harlem",Entire home/apt,78$,0,,,0,,,,5/24/2018,40.82909,-73.94183
81,21691896,Spacious Brooklyn Townhouse with Garden,21248,Toto,"Brooklyn, Sunset Park",Entire home/apt,300$,1,12/8/2017,0.05,0,4.685595963,1.2,0.6175173,6/4/2017,40.65015,-74.01084
82,7733241,Amazing room in Williamsburg House,16683784,Charles,"Brooklyn, Williamsburg",Private room,72$,5,6/30/2017,0.11,0,3.541776404,6,0.765685321,12/25/2016,40.71375,-73.94342
83,411525,Beautiful Room + Private Balcony,1697784,Jonathan,"Brooklyn, Williamsburg",Private room,120$,62,5/17/2019,0.7,15,3.842605462,74.4,0.70021229,11/11/2018,40.71472,-73.96225
84,13992442,Comfortable 1-bedroom in South Slope,57509618,Kelly,"Brooklyn, Sunset Park",Private room,50$,0,,,0,,,,8/8/2018,40.66206,-73.99767
85,4384820,N 6th & Bedford PRIME Williamsburg ,22764554,Linda,"Brooklyn, Williamsburg",Private room,135$,1,11/4/2014,0.02,0,3.762790611,1.2,0.659059267,5/1/2014,40.71797,-73.95981
86,13747861,Sunny Bed Stuy Haven,7009626,Halle,"Brooklyn, Bedford-Stuyvesant",Entire home/apt,295$,16,7/30/2017,0.44,0,3.248634618,19.2,0.783360429,1/24/2017,40.68952,-73.94309
87,1967045,Top Floor Brooklyn Pad 1.5Bd/1Bth,9975193,Julianna & Lawrence,"Brooklyn, Park Slope",Entire home/apt,180$,6,7/30/2018,0.13,0,3.09935619,7.2,0.752900149,1/24/2018,40.67694,-73.9813
88,9716437,Chill Gramercy Flat,956269,Justin,"Manhattan, Gramercy",Entire home/apt,195$,19,6/21/2019,0.43,34,3.93345874,22.8,0.771133167,12/16/2018,40.73725,-73.98439
89,14745847,Beautifu large studio in the heart  of Manhattan,39939354,Roberto,"Manhattan, Midtown",Entire home/apt,150$,29,6/22/2019,0.86,31,4.31489587,34.8,0.710576443,12/17/2018,40.75797,-73.97004
90,36450318,"LUXURY, PRIVATE APT ACROSS FROM EMPIRE STATE",151831356,Michael,"Manhattan, Midtown",Entire home/apt,199$,0,,,14,,,,3/22/2018,40.74607,-73.98599
91,5613334,Beautiful room in Brownstone  Bklyn,7322898,Clemencia,"Brooklyn, Prospect Heights",Private room,110$,0,,,0,,,,7/16/2018,40.67928,-73.97013
92,16465690,Room in the heart of East Village,52243881,Andrea,"Manhattan, East Village",Private room,90$,8,1/2/2018,0.26,0,4.005200086,9.6,0.699692563,6/29/2017,40.7232,-73.98223
93,57618,"Great new apt, close to everything",274557,Ana,"Manhattan, Hell's Kitchen",Entire home/apt,250$,94,6/9/2019,0.96,3,4.41698575,112.8,0.687041193,12/4/2018,40.7672,-73.98508
94,8796283,Sunny flat in lovely brownstone,9138796,Eli And Maggie,"Brooklyn, Bedford-Stuyvesant",Entire home/apt,130$,115,6/23/2019,2.83,49,3.520718158,138,0.601116212,12/18/2018,40.68967,-73.93381
95,13378096,Bushwick 1 Bedroom,16626798,Chelsea,"Brooklyn, Bushwick",Private room,65$,0,,,0,,,,3/9/2018,40.70222,-73.92947
96,9539912,1BDRM 25 min subway to Times sq,49411357,Viacheslav,"Queens, Forest Hills",Entire home/apt,100$,0,,,0,,,,4/30/2018,40.71425,-73.84503
97,32635722,Sonder | Stock Exchange | Modern 2BR + Kitchen,219517861,Sonder (NYC),"Manhattan, Financial District",Entire home/apt,416$,7,6/8/2019,1.72,338,4.133443502,8.4,0.640389327,12/3/2018,40.70608,-74.01112
98,31165324,Furnished room in beautiful spacious duplex,44409079,Mariana,"Brooklyn, Williamsburg",Private room,125$,0,,,340,,,,2/23/2018,40.71198,-73.94807
99,22480570,Sunny & Cozy Double Bedroom with private entrance,22382224,Meryem,"Brooklyn, Windsor Terrace",PRIVATE ROOM,85$,6,4/2/2018,0.33,0,3.879376654,7.2,0.740707324,9/27/2017,40.66023,-73.9804
100,35549378,A dreamy stay,267476000,Xanthi,"Manhattan, Hell's Kitchen",Private room,100$,0,,,167,,,,9/6/2018,40.76369,-73.98891
101,7222354,"Sunny Upper East Side Apt, Balcony",18489745,Fon,"Manhattan, Upper East Side",PRIVATE ROOM,86$,2,3/13/2016,0.04,0,3.674105024,2.4,0.702591974,9/8/2015,40.76446,-73.95603
102,19100971,Spacious Bedroom with lots of Natural Light,81745867,Jacqueline,"Manhattan, Washington Heights",Private room,70$,2,6/25/2018,0.16,0,3.307499065,2.4,0.70039457,12/20/2017,40.84917,-73.94048
103,8816465,"Large, Sunny Family-Friendly Apt. (Smoke-Free)",40800505,Beverly,"Brooklyn, Bedford-Stuyvesant",Entire home/apt,135$,29,11/10/2018,0.65,268,4.58771691,34.8,0.888762006,5/7/2018,40.68691,-73.93294
104,19936586,Huge Sunny room in BedStuy (musician friendly),26091462,Tanya,"Brooklyn, Bedford-Stuyvesant",Private room,100$,1,11/5/2017,0.05,0,4.852652429,1.2,0.704552858,5/2/2017,40.69499,-73.94921
105,9495205,Comfy & Sunny Studio Rental,33058791,Amanda,"Brooklyn, Clinton Hill",Entire home/apt,180$,0,,,0,,,,5/4/2018,40.6858,-73.96789
106,18042238,Airy one bedroom in Crown Heights,100345999,Leigh,"Brooklyn, Crown Heights",Entire home/apt,80$,1,4/28/2017,0.04,0,4.363348102,1.2,0.695115654,10/23/2016,40.67544,-73.95655
107,21173148,"Sunny apartment, great amenties and transporation.",27231066,Victoria,"Manhattan, Harlem",Entire home/apt,165$,22,5/27/2019,1.03,0,3.877467922,26.4,0.686272065,11/21/2018,40.81138,-73.95442
108,21394300,Entire 1BR Beautiful Williamsburg Apartment,205055,Clare,"Brooklyn, Williamsburg",Entire home/apt,150$,3,1/4/2018,0.15,0,3.289485701,3.6,0.759843615,7/1/2017,40.71923,-73.95515
109,20978898,Lovely Bushwick Townhouse - steps from subway!,150965627,Anna,"Brooklyn, Bushwick",Private room,40$,8,11/1/2018,0.36,0,4.533217069,9.6,0.762564095,4/28/2018,40.6838,-73.91015
110,18873598,Lovely one bedroom suite in midtown manhattan,120762452,Stanley,"Manhattan, Murray Hill",Entire home/apt,175$,0,,,180,,,,9/10/2018,40.74966,-73.97601
111,11547246,"Large, sunny room - Lower East Side",22551065,Tamir,"Manhattan, Lower East Side",Private room,85$,1,5/16/2016,0.03,0,4.298273853,1.2,0.632850857,11/11/2015,40.71931,-73.98393
112,34937287,4Bed Penthouse! Terrace! Location! 5th Ave,133996326,Grant,"Manhattan, Flatiron District",Entire home/apt,459$,5,7/7/2019,4.29,354,4.364623246,6,0.717615619,1/1/2019,40.74312,-73.98977
113,12084205,East Village 1B in 3B apt,51924404,Angela,"Manhattan, East Village",Private room,56$,2,6/1/2016,0.05,0,4.690637807,2.4,0.662361457,11/27/2015,40.72966,-73.98476
114,35348683,Central Park/Times Square Luxury Suite,16830841,Mara,"Manhattan, Midtown",Private room,358$,2,7/1/2019,2,322,4.457747295,2.4,0.704890595,12/26/2018,40.76372,-73.98182
115,18109852,"Sunny high-ceiling, large-windows, Bushwick apt",5168429,Chris,"Brooklyn, Bushwick",Private room,65$,17,1/12/2019,0.66,11,4.02720254,20.4,0.697470867,7/9/2018,40.69511,-73.90715
116,11378048,Charming One Bedroom in Boerum Hill,4161553,Michael,"Brooklyn, Gowanus",Entire home/apt,120$,5,5/9/2016,0.13,0,3.309457641,6,0.769731806,11/4/2015,40.6848,-73.98894
117,14913197,Serene & Clean Cuartito with Garden View,60852834,Manny & Gemma,"Brooklyn, Greenpoint",Private room,56$,154,6/15/2019,4.49,44,3.909946542,184.8,0.730000338,12/10/2018,40.72948,-73.94918
118,27059366,Your own 2 bedroom Home in NYC,97168718,Chloe,"Manhattan, Upper West Side",Entire home/apt,250$,0,,,38,,,,5/25/2018,40.78802,-73.97253
119,30184570,Cozy room in the heart of Williamsburg.,188477517,Jane,"Brooklyn, Williamsburg",Private room,100$,1,12/9/2018,0.14,0,4.021948659,1.2,0.625138122,6/5/2018,40.7107,-73.95846
120,36077745,AMAZING LARGE ONE BEDROOM IN WILLIAMSBURG!!,266752544,Haily,"Brooklyn, Williamsburg",Entire home/apt,299$,2,7/3/2019,2,178,3.847872477,2.4,0.721492416,12/28/2018,40.71527,-73.93852
121,5105805,Best Location in Midtown Manhattan,8329975,Gore,"Manhattan, Hell's Kitchen",Entire home/apt,150$,15,6/29/2019,0.41,5,3.942413796,18,0.6551896,12/24/2018,40.76645,-73.98539
122,4050765,Harmony House 3 on Madison Street,21014758,Garnet,"Brooklyn, Bedford-Stuyvesant",Private room,38$,50,6/25/2019,1.35,126,3.81735092,60,0.772770494,12/20/2018,40.68852,-73.92393
123,30392986,"Peaceful Chelsea 1BR w/ Balcony, Doorman + Gym by Blueground",107434423,Blueground,"Manhattan, Chelsea",Entire home/apt,361$,0,,,157,,,,5/26/2018,40.7388,-73.997
124,28659894,Private bedroom in prime Bushwick! Near Trains!!!,216235179,Nina,"Brooklyn, Bushwick",Private room,55$,4,4/12/2019,0.58,358,4.916251787,4.8,0.703117141,8/23/2020,40.69988,-73.92072
125,25051166,NEAR COLUMBIA PRESBYTERIAN HOSP- Students*Visitors,25237492,Juliana,"Manhattan, Washington Heights",Private room,50$,2,2/6/2019,0.17,311,4.423282551,2.4,0.672780487,8/3/2018,40.84115,-73.94095
126,18667184,Easy trip to Manhattan!  Large Private Garden!,129733507,Mo,"Brooklyn, Bedford-Stuyvesant",Entire home/apt,200$,4,5/6/2018,0.17,250,4.337523065,4.8,0.728064061,10/31/2017,40.68391,-73.95783
127,27933429,Cute Williamsburg studio,35335572,Caleb,"Brooklyn, Williamsburg",Entire home/apt,130$,1,1/1/2019,0.16,2,4.809404661,1.2,0.653906918,6/28/2018,40.71645,-73.95721
128,15477385,Charming Apartment in Brooklyn,15858985,Laura,"Brooklyn, Bedford-Stuyvesant",Entire home/apt,140$,0,,,168,,,,8/27/2018,40.68852,-73.9499
129,17122439,Charming Studio with your Own Private Patio,115057851,Chito And Xavier,"Manhattan, East Harlem",Entire home/apt,100$,103,7/1/2019,3.61,32,3.061133708,123.6,0.608395684,12/26/2018,40.80827,-73.93813
130,33990485,Sonder | Stock Exchange | Timeless 1BR + Kitchen,219517861,Sonder (NYC),"Manhattan, Financial District",Entire home/apt,256$,4,6/18/2019,2.79,292,4.812922905,4.8,0.634461078,12/13/2018,40.70714,-74.01208
131,21979387,Brownstone 1 Bedroom Apt in Bushwick,160474324,Noel,"Brooklyn, Bushwick",Entire home/apt,70$,1,12/14/2017,0.05,0,4.465613118,1.2,0.617264634,6/10/2017,40.69267,-73.9218
132,29015079,"Sunny, Modern Williamsburg Condo Steps from Train",218689235,John,"Brooklyn, Williamsburg",Entire home/apt,160$,21,7/2/2019,3.28,335,4.49049575,25.2,0.631604854,12/27/2018,40.71441,-73.95229
133,5315798,Williamsburg Apt. S 2nd & Bedford,22761603,Dan,"Brooklyn, Williamsburg",Private room,90$,1,3/17/2015,0.02,0,4.092084434,1.2,0.639289948,9/11/2014,40.71425,-73.96054
134,14014128,Amazing Private Room - Custom Style,83809962,Tamara,"Brooklyn, East Flatbush",Private room,45$,39,6/12/2019,1.27,365,4.393991828,46.8,0.708725911,12/7/2018,40.66248,-73.92855
135,2186452,Tribeca Loft for Superbowl Wknd,10636508,Reed,"Manhattan, Tribeca",Entire home/apt,1500$,0,,,0,,,,6/5/2018,40.71725,-74.00528
